CoID,Date,CostCtr,  Ces  ,  Stops  ,   GP Dollars
FDC,4/2/2019,5150,5207.850838,214,"34,687.78"
FDC,4/3/2019,5110,19296.52588,124,"119,458.42"
FDC,4/3/2019,5120,23516.13494,320,"148,402.57"
FDC,4/3/2019,5130,13321.73062,194,"96,191.82"
FDC,4/3/2019,5150,5349.060312,220,"35,628.33"
FDC,4/4/2019,5110,21741.76113,140,"134,596.07"
FDC,4/4/2019,5120,26496.07457,361,"167,207.98"
FDC,4/4/2019,5130,15009.84616,219,"108,381.15"
FDC,4/4/2019,5150,6026.887549,248,"40,143.11"
FDC,4/5/2019,5110,22808.94015,147,"141,202.62"
FDC,4/5/2019,5120,27796.61571,379,"175,415.27"
FDC,4/5/2019,5130,15746.59388,230,"113,700.96"
FDC,4/5/2019,5150,6322.713077,260,"42,113.51"
FDC,4/8/2019,5110,19523.18971,126,"120,861.62"
FDC,4/8/2019,5120,23792.36379,324,"150,145.76"
FDC,4/8/2019,5130,13478.21239,197,"97,321.72"
FDC,4/8/2019,5150,5411.892269,223,"36,046.83"
FDC,4/9/2019,5110,21115.86845,136,"130,721.37"
FDC,4/9/2019,5120,25733.31671,351,"162,394.47"
FDC,4/9/2019,5130,14577.74902,213,"105,261.12"
FDC,4/9/2019,5150,5853.388045,241,"38,987.49"
FDC,4/10/2019,5110,18966.73207,122,"117,416.78"
FDC,4/10/2019,5120,23114.22447,315,"145,866.24"
FDC,4/10/2019,5130,13094.05107,191,"94,547.82"
FDC,4/10/2019,5150,5257.640385,217,"35,019.41"
FDC,4/11/2019,5110,19582.18946,126,"121,226.87"
FDC,4/11/2019,5120,23864.26513,325,"150,599.50"
FDC,4/11/2019,5130,13518.944,197,"97,615.83"
FDC,4/11/2019,5150,5428.247192,224,"36,155.76"
FDC,4/12/2019,5110,22158.94344,143,"137,178.71"
FDC,4/12/2019,5120,27004.48295,368,"170,416.38"
FDC,4/12/2019,5130,15297.85606,223,"110,460.77"
FDC,4/12/2019,5150,6142.531855,253,"40,913.38"
FDC,4/15/2019,5110,17913.47822,115,"110,896.43"
FDC,4/15/2019,5120,21830.65355,297,"137,766.05"
FDC,4/15/2019,5130,12366.91687,180,"89,297.43"
FDC,4/15/2019,5150,4965.674962,205,"33,074.72"
FDC,4/16/2019,5110,19470.44986,125,"120,535.13"
FDC,4/16/2019,5120,23728.09122,323,"149,740.15"
FDC,4/16/2019,5130,13441.80241,196,"97,058.82"
FDC,4/16/2019,5150,5397.27261,222,"35,949.45"
FDC,4/17/2019,5110,18835.81642,121,"116,606.32"
FDC,4/17/2019,5120,22954.68124,313,"144,859.42"
FDC,4/17/2019,5130,13003.67091,190,"93,895.22"
FDC,4/17/2019,5150,5221.350136,215,"34,777.69"
FDC,4/18/2019,5110,22625.0768,146,"140,064.38"
FDC,4/18/2019,5120,27572.54661,376,"174,001.24"
FDC,4/18/2019,5130,15619.66026,228,"112,784.41"
FDC,4/18/2019,5150,6271.745553,258,"41,774.03"
FDC,4/19/2019,5110,23415.0779,151,"144,955.02"
FDC,4/19/2019,5120,28535.29878,389,"180,076.85"
FDC,4/19/2019,5130,16165.05282,236,"116,722.51"
FDC,4/19/2019,5150,6490.736449,267,"43,232.65"
FDC,4/22/2019,5110,17996.9505,116,"111,413.18"
FDC,4/22/2019,5120,21932.37887,299,"138,408.01"
FDC,4/22/2019,5130,12424.54357,181,"89,713.53"
FDC,4/22/2019,5150,4988.81375,205,"33,228.84"
FDC,4/23/2019,5110,20505.96842,132,"126,945.68"
FDC,4/23/2019,5120,24990.04865,340,"157,703.95"
FDC,4/23/2019,5130,14156.69271,207,"102,220.81"
FDC,4/23/2019,5150,5684.321753,234,"37,861.39"
FDC,4/24/2019,5110,19000.82848,122,"117,627.86"
FDC,4/24/2019,5120,23155.77681,315,"146,128.47"
FDC,4/24/2019,5130,13117.59019,191,"94,717.79"
FDC,4/24/2019,5150,5267.092022,217,"35,082.36"
FDC,4/25/2019,5110,20075.45872,129,"124,280.54"
FDC,4/25/2019,5120,24465.39855,333,"154,393.06"
FDC,4/25/2019,5130,13859.482,202,"100,074.75"
FDC,4/25/2019,5150,5564.983052,229,"37,066.52"
FDC,4/26/2019,5110,21600.16841,139,"133,719.51"
