CoID,Date,CostCtr,SBT,RET,UNS,SPE
FDC,4/23/2019,5110,20%,1%,3%,1%
FDC,4/23/2019,5120,20%,1%,3%,1%
FDC,4/23/2019,5130,20%,1%,3%,1%
FDC,4/23/2019,5150,20%,1%,3%,1%
FDC,4/24/2019,5110,20%,1%,3%,1%
FDC,4/24/2019,5120,20%,1%,3%,1%
FDC,4/24/2019,5130,20%,1%,3%,1%
FDC,4/24/2019,5150,20%,1%,3%,1%
FDC,4/25/2019,5110,20%,1%,3%,1%
FDC,4/25/2019,5120,20%,1%,3%,1%
FDC,4/25/2019,5130,20%,1%,3%,1%
FDC,4/25/2019,5150,20%,1%,3%,1%
FDC,4/26/2019,5110,20%,1%,3%,1%
FDC,4/26/2019,5120,20%,1%,3%,1%
FDC,4/26/2019,5130,20%,1%,3%,1%
FDC,4/26/2019,5150,20%,1%,3%,1%
FDC,4/29/2019,5110,20%,1%,3%,1%
FDC,4/29/2019,5120,20%,1%,3%,1%
FDC,4/29/2019,5130,20%,1%,3%,1%
FDC,4/29/2019,5150,20%,1%,3%,1%
FDC,4/30/2019,5110,20%,1%,3%,1%
FDC,4/30/2019,5120,20%,1%,3%,1%
FDC,4/30/2019,5130,20%,1%,3%,1%
FDC,4/30/2019,5150,20%,1%,3%,1%
FDC,5/1/2019,5110,20%,1%,3%,1%
FDC,5/1/2019,5120,20%,1%,3%,1%
FDC,5/1/2019,5130,20%,1%,3%,1%
FDC,5/1/2019,5150,20%,1%,3%,1%
FDC,5/2/2019,5110,20%,1%,3%,1%
FDC,5/2/2019,5120,20%,1%,3%,1%
FDC,5/2/2019,5130,20%,1%,3%,1%
FDC,5/2/2019,5150,20%,1%,3%,1%
FDC,5/3/2019,5110,20%,1%,3%,1%
FDC,5/3/2019,5120,20%,1%,3%,1%
FDC,5/3/2019,5130,20%,1%,3%,1%
FDC,5/3/2019,5150,20%,1%,3%,1%
FDC,5/6/2019,5110,20%,1%,3%,1%
FDC,5/6/2019,5120,20%,1%,3%,1%
FDC,5/6/2019,5130,20%,1%,3%,1%
FDC,5/6/2019,5150,20%,1%,3%,1%
FDC,5/7/2019,5110,20%,1%,3%,1%
FDC,5/7/2019,5120,20%,1%,3%,1%
FDC,5/7/2019,5130,20%,1%,3%,1%
FDC,5/7/2019,5150,20%,1%,3%,1%
FDC,5/8/2019,5110,20%,1%,3%,1%
FDC,5/8/2019,5120,20%,1%,3%,1%
FDC,5/8/2019,5130,20%,1%,3%,1%
FDC,5/8/2019,5150,20%,1%,3%,1%
FDC,5/9/2019,5110,20%,1%,3%,1%
FDC,5/9/2019,5120,20%,1%,3%,1%
FDC,5/9/2019,5130,20%,1%,3%,1%
FDC,5/9/2019,5150,20%,1%,3%,1%
FDC,5/10/2019,5110,20%,1%,3%,1%
FDC,5/10/2019,5120,20%,1%,3%,1%
FDC,5/10/2019,5130,20%,1%,3%,1%
FDC,5/10/2019,5150,20%,1%,3%,1%
FDC,5/13/2019,5110,20%,1%,3%,1%
FDC,5/13/2019,5120,20%,1%,3%,1%
FDC,5/13/2019,5130,20%,1%,3%,1%
FDC,5/13/2019,5150,20%,1%,3%,1%
FDC,5/14/2019,5110,20%,1%,3%,1%
FDC,5/14/2019,5120,20%,1%,3%,1%
FDC,5/14/2019,5130,20%,1%,3%,1%
FDC,5/14/2019,5150,20%,1%,3%,1%
FDC,5/15/2019,5110,20%,1%,3%,1%
FDC,5/15/2019,5120,20%,1%,3%,1%
FDC,5/15/2019,5130,20%,1%,3%,1%
FDC,5/15/2019,5150,20%,1%,3%,1%
FDC,5/16/2019,5110,20%,1%,3%,1%
FDC,5/16/2019,5120,20%,1%,3%,1%
FDC,5/16/2019,5130,20%,1%,3%,1%
FDC,5/16/2019,5150,20%,1%,3%,1%
FDC,5/17/2019,5110,20%,1%,3%,1%
FDC,5/17/2019,5120,20%,1%,3%,1%
FDC,5/17/2019,5130,20%,1%,3%,1%
FDC,5/17/2019,5150,20%,1%,3%,1%
FDC,5/20/2019,5110,20%,1%,3%,1%
FDC,5/20/2019,5120,20%,1%,3%,1%
FDC,5/20/2019,5130,20%,1%,3%,1%
FDC,5/20/2019,5150,20%,1%,3%,1%
FDC,5/21/2019,5110,20%,1%,3%,1%
FDC,5/21/2019,5120,20%,1%,3%,1%
FDC,5/21/2019,5130,20%,1%,3%,1%
FDC,5/21/2019,5150,20%,1%,3%,1%
FDC,5/22/2019,5110,20%,1%,3%,1%
FDC,5/22/2019,5120,20%,1%,3%,1%
FDC,5/22/2019,5130,20%,1%,3%,1%
FDC,5/22/2019,5150,20%,1%,3%,1%
FDC,5/23/2019,5110,20%,1%,3%,1%
FDC,5/23/2019,5120,20%,1%,3%,1%
FDC,5/23/2019,5130,20%,1%,3%,1%
FDC,5/23/2019,5150,20%,1%,3%,1%
FDC,5/24/2019,5110,20%,1%,3%,1%
FDC,5/24/2019,5120,20%,1%,3%,1%
FDC,5/24/2019,5130,20%,1%,3%,1%
FDC,5/24/2019,5150,20%,1%,3%,1%
FDC,5/28/2019,5110,20%,1%,3%,1%
FDC,5/28/2019,5120,20%,1%,3%,1%
FDC,5/28/2019,5130,20%,1%,3%,1%
FDC,5/28/2019,5150,20%,1%,3%,1%
FDC,5/29/2019,5110,20%,1%,3%,1%
FDC,5/29/2019,5120,20%,1%,3%,1%
FDC,5/29/2019,5130,20%,1%,3%,1%
FDC,5/29/2019,5150,20%,1%,3%,1%
FDC,5/30/2019,5110,20%,1%,3%,1%
FDC,5/30/2019,5120,20%,1%,3%,1%
FDC,5/30/2019,5130,20%,1%,3%,1%
FDC,5/30/2019,5150,20%,1%,3%,1%
FDC,5/31/2019,5110,20%,1%,3%,1%
FDC,5/31/2019,5120,20%,1%,3%,1%
FDC,5/31/2019,5130,20%,1%,3%,1%
FDC,5/31/2019,5150,20%,1%,3%,1%
FDC,6/3/2019,5110,20%,1%,3%,1%
FDC,6/3/2019,5120,20%,1%,3%,1%
FDC,6/3/2019,5130,20%,1%,3%,1%
FDC,6/3/2019,5150,20%,1%,3%,1%
FDC,6/4/2019,5110,20%,1%,3%,1%
FDC,6/4/2019,5120,20%,1%,3%,1%
FDC,6/4/2019,5130,20%,1%,3%,1%
FDC,6/4/2019,5150,20%,1%,3%,1%
FDC,6/5/2019,5110,20%,1%,3%,1%
FDC,6/5/2019,5120,20%,1%,3%,1%
FDC,6/5/2019,5130,20%,1%,3%,1%
FDC,6/5/2019,5150,20%,1%,3%,1%
FDC,6/6/2019,5110,20%,1%,3%,1%
FDC,6/6/2019,5120,20%,1%,3%,1%
FDC,6/6/2019,5130,20%,1%,3%,1%
FDC,6/6/2019,5150,20%,1%,3%,1%
FDC,6/7/2019,5110,20%,1%,3%,1%
FDC,6/7/2019,5120,20%,1%,3%,1%
FDC,6/7/2019,5130,20%,1%,3%,1%
FDC,6/7/2019,5150,20%,1%,3%,1%
FDC,6/10/2019,5110,20%,1%,3%,1%
FDC,6/10/2019,5120,20%,1%,3%,1%
FDC,6/10/2019,5130,20%,1%,3%,1%
FDC,6/10/2019,5150,20%,1%,3%,1%
FDC,6/11/2019,5110,20%,1%,3%,1%
FDC,6/11/2019,5120,20%,1%,3%,1%
FDC,6/11/2019,5130,20%,1%,3%,1%
FDC,6/11/2019,5150,20%,1%,3%,1%
FDC,6/12/2019,5110,20%,1%,3%,1%
FDC,6/12/2019,5120,20%,1%,3%,1%
FDC,6/12/2019,5130,20%,1%,3%,1%
FDC,6/12/2019,5150,20%,1%,3%,1%
FDC,6/13/2019,5110,20%,1%,3%,1%
FDC,6/13/2019,5120,20%,1%,3%,1%
FDC,6/13/2019,5130,20%,1%,3%,1%
FDC,6/13/2019,5150,20%,1%,3%,1%
FDC,6/14/2019,5110,20%,1%,3%,1%
FDC,6/14/2019,5120,20%,1%,3%,1%
FDC,6/14/2019,5130,20%,1%,3%,1%
FDC,6/14/2019,5150,20%,1%,3%,1%
FDC,6/17/2019,5110,20%,1%,3%,1%
FDC,6/17/2019,5120,20%,1%,3%,1%
FDC,6/17/2019,5130,20%,1%,3%,1%
FDC,6/17/2019,5150,20%,1%,3%,1%
FDC,6/18/2019,5110,20%,1%,3%,1%
FDC,6/18/2019,5120,20%,1%,3%,1%
FDC,6/18/2019,5130,20%,1%,3%,1%
FDC,6/18/2019,5150,20%,1%,3%,1%
FDC,6/19/2019,5110,20%,1%,3%,1%
FDC,6/19/2019,5120,20%,1%,3%,1%
FDC,6/19/2019,5130,20%,1%,3%,1%
FDC,6/19/2019,5150,20%,1%,3%,1%
FDC,6/20/2019,5110,20%,1%,3%,1%
FDC,6/20/2019,5120,20%,1%,3%,1%
FDC,6/20/2019,5130,20%,1%,3%,1%
FDC,6/20/2019,5150,20%,1%,3%,1%
FDC,6/21/2019,5110,20%,1%,3%,1%
FDC,6/21/2019,5120,20%,1%,3%,1%
FDC,6/21/2019,5130,20%,1%,3%,1%
FDC,6/21/2019,5150,20%,1%,3%,1%
FDC,6/24/2019,5110,20%,1%,3%,1%
FDC,6/24/2019,5120,20%,1%,3%,1%
FDC,6/24/2019,5130,20%,1%,3%,1%
FDC,6/24/2019,5150,20%,1%,3%,1%
FDC,6/25/2019,5110,20%,1%,3%,1%
FDC,6/25/2019,5120,20%,1%,3%,1%
FDC,6/25/2019,5130,20%,1%,3%,1%
FDC,6/25/2019,5150,20%,1%,3%,1%
FDC,6/26/2019,5110,20%,1%,3%,1%
FDC,6/26/2019,5120,20%,1%,3%,1%
FDC,6/26/2019,5130,20%,1%,3%,1%
FDC,6/26/2019,5150,20%,1%,3%,1%
FDC,6/27/2019,5110,20%,1%,3%,1%
FDC,6/27/2019,5120,20%,1%,3%,1%
FDC,6/27/2019,5130,20%,1%,3%,1%
FDC,6/27/2019,5150,20%,1%,3%,1%
FDC,6/28/2019,5110,20%,1%,3%,1%
FDC,6/28/2019,5120,20%,1%,3%,1%
FDC,6/28/2019,5130,20%,1%,3%,1%
FDC,6/28/2019,5150,20%,1%,3%,1%
FDC,7/1/2019,5110,20%,1%,3%,1%
FDC,7/1/2019,5120,20%,1%,3%,1%
FDC,7/1/2019,5130,20%,1%,3%,1%
FDC,7/1/2019,5150,20%,1%,3%,1%
FDC,7/2/2019,5110,20%,1%,3%,1%
FDC,7/2/2019,5120,20%,1%,3%,1%
FDC,7/2/2019,5130,20%,1%,3%,1%
FDC,7/2/2019,5150,20%,1%,3%,1%
FDC,7/3/2019,5110,20%,1%,3%,1%
FDC,7/3/2019,5120,20%,1%,3%,1%
FDC,7/3/2019,5130,20%,1%,3%,1%
FDC,7/3/2019,5150,20%,1%,3%,1%
FDC,7/5/2019,5110,20%,1%,3%,1%
FDC,7/5/2019,5120,20%,1%,3%,1%
FDC,7/5/2019,5130,20%,1%,3%,1%
FDC,7/5/2019,5150,20%,1%,3%,1%
FDC,7/8/2019,5110,20%,1%,3%,1%
FDC,7/8/2019,5120,20%,1%,3%,1%
FDC,7/8/2019,5130,20%,1%,3%,1%
FDC,7/8/2019,5150,20%,1%,3%,1%
FDC,7/9/2019,5110,20%,1%,3%,1%
FDC,7/9/2019,5120,20%,1%,3%,1%
FDC,7/9/2019,5130,20%,1%,3%,1%
FDC,7/9/2019,5150,20%,1%,3%,1%
FDC,7/10/2019,5110,20%,1%,3%,1%
FDC,7/10/2019,5120,20%,1%,3%,1%
FDC,7/10/2019,5130,20%,1%,3%,1%
FDC,7/10/2019,5150,20%,1%,3%,1%
FDC,7/11/2019,5110,20%,1%,3%,1%
FDC,7/11/2019,5120,20%,1%,3%,1%
