CoID,Date,CostCtr,   Ces   ,  Stops  ,  GP Dollars  
HJL,3/29/2019,5110,"5,893",32,"34,673"
HJL,3/29/2019,5120,"8,159",103,"41,204"
HJL,3/29/2019,5130,"2,720",80,"18,440"
HJL,3/29/2019,5200,"5,893",65,"34,296"
HJL,3/29/2019,5150,"1,193",80,"7,503"
HJL,4/1/2019,5110,"4,505",30,"26,507"
HJL,4/1/2019,5120,"6,238",94,"31,500"
HJL,4/1/2019,5130,"2,079",74,"14,097"
HJL,4/1/2019,5200,"4,505",59,"26,219"
HJL,4/1/2019,5150,912,74,"5,736"
HJL,4/2/2019,5110,"5,373",32,"31,612"
HJL,4/2/2019,5120,"7,439",105,"37,567"
HJL,4/2/2019,5130,"2,480",81,"16,812"
HJL,4/2/2019,5200,"5,373",66,"31,268"
HJL,4/2/2019,5150,"1,088",80,"6,841"
HJL,4/3/2019,5110,"4,679",32,"27,530"
HJL,4/3/2019,5120,"6,478",105,"32,716"
HJL,4/3/2019,5130,"2,159",81,"14,641"
HJL,4/3/2019,5200,"4,679",66,"27,231"
HJL,4/3/2019,5150,947,81,"5,958"
HJL,4/4/2019,5110,"5,825",32,"34,277"
HJL,4/4/2019,5120,"8,066",102,"40,733"
HJL,4/4/2019,5130,"2,689",79,"18,229"
HJL,4/4/2019,5200,"5,825",65,"33,904"
HJL,4/4/2019,5150,"1,179",79,"7,417"
HJL,4/5/2019,5110,"5,374",32,"31,622"
HJL,4/5/2019,5120,"7,441",103,"37,578"
HJL,4/5/2019,5130,"2,480",80,"16,817"
HJL,4/5/2019,5200,"5,374",65,"31,278"
HJL,4/5/2019,5150,"1,088",80,"6,843"
HJL,4/8/2019,5110,"4,818",30,"28,350"
HJL,4/8/2019,5120,"6,671",94,"33,690"
HJL,4/8/2019,5130,"2,224",74,"15,077"
HJL,4/8/2019,5200,"4,818",59,"28,041"
HJL,4/8/2019,5150,975,74,"6,135"
HJL,4/9/2019,5110,"5,087",32,"29,933"
HJL,4/9/2019,5120,"7,044",105,"35,571"
HJL,4/9/2019,5130,"2,348",81,"15,919"
HJL,4/9/2019,5200,"5,087",66,"29,607"
HJL,4/9/2019,5150,"1,030",80,"6,477"
HJL,4/10/2019,5110,"4,952",32,"29,140"
HJL,4/10/2019,5120,"6,857",105,"34,628"
HJL,4/10/2019,5130,"2,286",81,"15,497"
